date,sampler_perf/mean_processing_ms,time_since_restore,timesteps_total,info/grad_time_ms,episode_reward_mean,experiment_id,training_iteration,timesteps_since_restore,iterations_since_restore,info/num_steps_trained,info/opt_peak_throughput,info/update_time_ms,hostname,info/sample_peak_throughput,sampler_perf/mean_inference_ms,timestamp,pid,info/sample_time_ms,episodes_total,time_total_s,episode_reward_min,episode_len_mean,episode_reward_max,info/opt_samples,time_this_iter_s,sampler_perf/mean_env_wait_ms,timesteps_this_iter,info/num_steps_sampled,node_ip,episodes_this_iter,done
2019-12-18_10-41-12,0.3644389235209638,13.174923658370972,28300,4.668,-271.79148936170213,39256a2dc336482785ed601076b83d42,34,28300,34,28300,171329.857,0.001,zack-XPS-15-9560,2232.952,0.6293569339827693,1576694472,8675,358.18,94,13.174923658370972,-641.0000000000009,71.72340425531915,381.39999999999895,799.8,0.3854954242706299,1.0317460701502614,852,28300,10.142.78.137,3,False
2019-12-18_10-41-12,0.36352109815349837,13.51749062538147,29060,4.632,-266.2855670103093,39256a2dc336482785ed601076b83d42,35,29060,35,29060,169471.626,0.002,zack-XPS-15-9560,2235.212,0.6281237081496639,1576694472,8675,351.197,97,13.51749062538147,-641.0000000000009,71.78350515463917,381.39999999999895,785.0,0.34256696701049805,1.0298059341944885,760,29060,10.142.78.137,3,False
2019-12-18_10-41-13,0.3626605710162949,13.898740768432617,29924,4.671,-263.03000000000003,39256a2dc336482785ed601076b83d42,36,29924,36,29924,172067.204,0.002,zack-XPS-15-9560,2249.859,0.6269425276445036,1576694473,8675,357.267,100,13.898740768432617,-641.0000000000009,71.51,381.39999999999895,803.8,0.38125014305114746,1.0279856513596446,864,29924,10.142.78.137,3,False
2019-12-18_10-41-13,0.35584499743456005,14.24979543685913,30707,4.704,-262.94000000000005,39256a2dc336482785ed601076b83d42,37,30707,37,30707,171954.516,0.002,zack-XPS-15-9560,2252.211,0.6171646721989308,1576694473,8675,359.114,103,14.24979543685913,-641.0000000000009,71.59,381.39999999999895,808.8,0.35105466842651367,1.0135095296933898,783,30707,10.142.78.137,3,False
2019-12-18_10-41-13,0.35127258578397524,14.60570502281189,31464,4.803,-263.01300000000003,39256a2dc336482785ed601076b83d42,38,31464,38,31464,167213.394,0.002,zack-XPS-15-9560,2242.42,0.6106807155754846,1576694473,8675,358.184,106,14.60570502281189,-641.0000000000009,72.02,381.39999999999895,803.2,0.3559095859527588,1.003566105491044,757,31464,10.142.78.137,3,False
2019-12-18_10-41-14,0.34819250078490915,14.910061597824097,32083,4.68,-258.87600000000003,39256a2dc336482785ed601076b83d42,39,32083,39,32083,167511.458,0.002,zack-XPS-15-9560,2232.244,0.6064855919003155,1576694474,8675,351.171,109,14.910061597824097,-641.0000000000009,72.08,381.39999999999895,783.9,0.30435657501220703,0.9972212463100183,619,32083,10.142.78.137,3,False
2019-12-18_10-41-14,0.346825406397692,15.295884847640991,32955,4.738,-268.87100000000004,39256a2dc336482785ed601076b83d42,40,32955,40,32955,166320.863,0.002,zack-XPS-15-9560,2235.678,0.6045551167969127,1576694474,8675,352.466,111,15.295884847640991,-641.0000000000009,72.0,381.39999999999895,788.0,0.38582324981689453,0.9949763059502946,872,32955,10.142.78.137,2,False
2019-12-18_10-41-14,0.34522742031351156,15.660949945449829,33776,4.695,-265.133,39256a2dc336482785ed601076b83d42,41,33776,41,33776,167190.295,0.002,zack-XPS-15-9560,2237.306,0.602127752053406,1576694474,8675,350.868,114,15.660949945449829,-641.0000000000009,72.05,381.39999999999895,785.0,0.3650650978088379,0.9925581625503611,821,33776,10.142.78.137,3,False
2019-12-18_10-41-15,0.3440038349254312,16.020819664001465,34565,4.654,-264.98400000000004,39256a2dc336482785ed601076b83d42,42,34565,42,34565,166995.198,0.002,zack-XPS-15-9560,2227.216,0.6004058240496827,1576694475,8675,348.956,117,16.020819664001465,-641.0000000000009,71.99,381.39999999999895,777.2,0.35986971855163574,0.990404524991076,789,34565,10.142.78.137,3,False
2019-12-18_10-41-15,0.3429710785733369,16.352738857269287,35282,4.723,-268.77600000000007,39256a2dc336482785ed601076b83d42,43,35282,43,35282,165866.621,0.002,zack-XPS-15-9560,2231.855,0.599024404968254,1576694475,8675,351.008,120,16.352738857269287,-641.0000000000009,71.83,381.39999999999895,783.4,0.33191919326782227,0.988622967078574,717,35282,10.142.78.137,3,False
