iterations_since_restore,node_ip,timestamp,date,episode_reward_min,episode_reward_max,hostname,sampler_perf/mean_processing_ms,info/grad_time_ms,info/sample_time_ms,episodes_this_iter,info/num_steps_sampled,info/update_time_ms,pid,sampler_perf/mean_inference_ms,info/opt_peak_throughput,info/sample_peak_throughput,episode_reward_mean,training_iteration,info/opt_samples,episodes_total,experiment_id,done,time_this_iter_s,timesteps_since_restore,info/num_steps_trained,sampler_perf/mean_env_wait_ms,time_since_restore,timesteps_total,timesteps_this_iter,time_total_s,episode_len_mean
39,10.142.78.137,1576701925,2019-12-18_12-45-25,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.49533308358999295,7.809,409.37,2,53222,0.001,17248,0.6632402541485102,175421.661,3346.116,-509.80800000000096,39,1369.8,104,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.40754222869873047,53222,53222,0.9549244999341776,16.456881284713745,53222,1331,16.456881284713745,74.61
40,10.142.78.137,1576701925,2019-12-18_12-45-25,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.4920214587620842,7.61,401.71,3,54318,0.001,17248,0.656175886936029,174872.17,3312.84,-499.653000000001,40,1330.8,107,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3653562068939209,54318,54318,0.9490933724891264,16.822237491607666,54318,1096,16.822237491607666,74.71
41,10.142.78.137,1576701926,2019-12-18_12-45-26,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.490322767303079,7.57,398.735,2,55534,0.001,17248,0.6527660004874838,173772.421,3298.934,-497.48700000000105,41,1315.4,109,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3951582908630371,55534,55534,0.9460247910030288,17.217395782470703,55534,1216,17.217395782470703,74.83
42,10.142.78.137,1576701926,2019-12-18_12-45-26,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48865344694565316,7.65,400.061,3,56945,0.001,17248,0.6491577483440253,173144.948,3310.747,-493.49100000000107,42,1324.5,112,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4211843013763428,56945,56945,0.9429383394513918,17.638580083847046,56945,1411,17.638580083847046,74.69
43,10.142.78.137,1576701927,2019-12-18_12-45-27,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48731034370472104,7.567,399.475,3,58390,0.001,17248,0.6464141555341127,174376.668,3303.085,-495.66100000000114,43,1319.5,115,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.43707823753356934,58390,58390,0.9404163379801126,18.075658321380615,58390,1445,18.075658321380615,74.78
44,10.142.78.137,1576701927,2019-12-18_12-45-27,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48654236205832796,7.471,394.915,2,59646,0.001,17248,0.64488940858303,174043.176,3292.353,-481.5330000000013,44,1300.2,117,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.3863675594329834,59646,59646,0.9389796875211043,18.4620258808136,59646,1256,18.4620258808136,74.86
45,10.142.78.137,1576701927,2019-12-18_12-45-27,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48576230047642655,7.565,398.543,3,61126,0.001,17248,0.643066351212266,175123.956,3324.357,-489.6520000000012,45,1324.9,120,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.4287567138671875,61126,61126,0.9375829658866007,18.890782594680786,61126,1480,18.890782594680786,74.81
46,10.142.78.137,1576701928,2019-12-18_12-45-28,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48521067053196376,7.627,403.231,3,62466,0.001,17248,0.6415313671162451,176170.444,3332.329,-489.73300000000114,46,1343.7,123,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.42346858978271484,62466,62466,0.9366253384054501,19.3142511844635,62466,1340,19.3142511844635,74.92
47,10.142.78.137,1576701928,2019-12-18_12-45-28,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48485382502585006,7.503,399.367,3,63530,0.001,17248,0.6402462858431939,176086.1,3307.983,-483.7590000000011,47,1321.1,126,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.35307788848876953,63530,63530,0.9360716184329252,19.66732907295227,63530,1064,19.66732907295227,74.81
48,10.142.78.137,1576701929,2019-12-18_12-45-29,-1066.7000000000028,568.6999999999978,zack-XPS-15-9560,0.48475529736885453,7.517,401.33,2,65111,0.001,17248,0.6395368948890507,175858.456,3294.049,-489.9560000000011,48,1322.0,128,183bfaa3e6f54d55a3ff3de61c36e8c3,False,0.47722482681274414,65111,65111,0.9359689330242932,20.144553899765015,65111,1581,20.144553899765015,74.79
