episodes_this_iter,info/num_steps_sampled,timesteps_this_iter,sampler_perf/mean_processing_ms,episodes_total,iterations_since_restore,episode_reward_mean,timestamp,sampler_perf/mean_env_wait_ms,training_iteration,time_total_s,episode_reward_min,info/opt_samples,info/sample_time_ms,time_this_iter_s,timesteps_since_restore,sampler_perf/mean_inference_ms,pid,time_since_restore,info/num_steps_trained,episode_reward_max,timesteps_total,done,info/grad_time_ms,info/opt_peak_throughput,hostname,info/update_time_ms,date,info/sample_peak_throughput,node_ip,episode_len_mean,experiment_id
2,52031,1399,0.9863688318084103,106,39,-419.81700000000137,1576702769,1.8664405694647865,39,33.58468699455261,-865.3000000000008,1323.3,849.367,0.8397049903869629,52031,1.2905868979973238,17939,33.58468699455261,52031,168.09999999999764,52031,False,14.463,91493.306,zack-XPS-15-9560,0.003,2019-12-18_12-59-29,1557.984,10.142.78.137,73.11,597e19b796dc436bb6e93311fa9df381
3,53317,1286,0.9881454116379618,109,40,-409.5460000000014,1576702769,1.8709946330631828,40,34.43387293815613,-865.3000000000008,1320.5,847.009,0.8491859436035156,53317,1.290970004299878,17939,34.43387293815613,53317,371.9999999999984,53317,False,14.484,91171.966,zack-XPS-15-9560,0.003,2019-12-18_12-59-29,1559.015,10.142.78.137,72.89,597e19b796dc436bb6e93311fa9df381
3,54603,1286,0.9896726707945888,112,41,-407.44200000000137,1576702770,1.8745681700438825,41,35.29673409461975,-865.3000000000008,1302.3,840.985,0.862861156463623,54603,1.2912238691731193,17939,35.29673409461975,54603,371.9999999999984,54603,False,14.403,90416.957,zack-XPS-15-9560,0.003,2019-12-18_12-59-30,1548.541,10.142.78.137,72.9,597e19b796dc436bb6e93311fa9df381
3,55786,1183,0.9906582337492597,115,42,-407.39100000000144,1576702771,1.8768135040770166,42,36.109007120132446,-865.3000000000008,1294.2,838.837,0.8122730255126953,55786,1.2913913720286094,17939,36.109007120132446,55786,371.9999999999984,55786,False,14.261,90752.925,zack-XPS-15-9560,0.003,2019-12-18_12-59-31,1542.851,10.142.78.137,72.94,597e19b796dc436bb6e93311fa9df381
2,57326,1540,0.9911953702496339,117,43,-407.43700000000143,1576702772,1.878142028099867,43,37.07311201095581,-865.3000000000008,1289.4,836.777,0.9641048908233643,57326,1.291518221469307,17939,37.07311201095581,57326,371.9999999999984,57326,False,14.021,91959.455,zack-XPS-15-9560,0.003,2019-12-18_12-59-32,1540.912,10.142.78.137,72.91,597e19b796dc436bb6e93311fa9df381
3,58725,1399,0.9918235755829841,120,44,-411.47400000000147,1576702773,1.8796243072917593,44,37.98006343841553,-865.3000000000008,1298.8,840.784,0.9069514274597168,58725,1.2916482261281035,17939,37.98006343841553,58725,371.9999999999984,58725,False,14.188,91542.125,zack-XPS-15-9560,0.003,2019-12-18_12-59-33,1544.749,10.142.78.137,72.88,597e19b796dc436bb6e93311fa9df381
3,60103,1378,0.9927095363826729,123,45,-415.6370000000016,1576702774,1.8813904105113095,45,38.8734929561615,-865.3000000000008,1339.8,858.16,0.8934295177459717,60103,1.2921982971928516,17939,38.8734929561615,60103,371.9999999999984,60103,False,14.601,91761.487,zack-XPS-15-9560,0.003,2019-12-18_12-59-34,1561.248,10.142.78.137,72.99,597e19b796dc436bb6e93311fa9df381
3,61357,1254,0.9937181150396515,126,46,-413.65600000000165,1576702775,1.8833568916218808,46,39.7183256149292,-865.3000000000008,1335.8,856.272,0.8448326587677002,61357,1.29294715918707,17939,39.7183256149292,61357,371.9999999999984,61357,False,14.466,92340.207,zack-XPS-15-9560,0.003,2019-12-18_12-59-35,1560.018,10.142.78.137,73.06,597e19b796dc436bb6e93311fa9df381
2,62636,1279,0.9944386447405422,128,47,-415.65400000000153,1576702776,1.8846771650789844,47,40.562429428100586,-865.3000000000008,1326.2,850.934,0.8441038131713867,62636,1.293470400823864,17939,40.562429428100586,62636,371.9999999999984,62636,False,14.566,91045.458,zack-XPS-15-9560,0.003,2019-12-18_12-59-36,1558.522,10.142.78.137,73.2,597e19b796dc436bb6e93311fa9df381
3,63970,1334,0.9957282516936468,131,48,-425.89400000000137,1576702776,1.8870306398836432,48,41.44370436668396,-865.3000000000008,1333.8,853.987,0.881274938583374,63970,1.2944284318908297,17939,41.44370436668396,63970,371.9999999999984,63970,False,14.699,90740.829,zack-XPS-15-9560,0.003,2019-12-18_12-59-36,1561.851,10.142.78.137,73.14,597e19b796dc436bb6e93311fa9df381
3,65180,1210,0.997083644719634,134,49,-419.6970000000015,1576702777,1.889660507049003,49,42.272300243377686,-865.3000000000008,1314.9,852.721,0.8285958766937256,65180,1.295574199172817,17939,42.272300243377686,65180,371.9999999999984,65180,False,14.831,88658.637,zack-XPS-15-9560,0.003,2019-12-18_12-59-37,1542.004,10.142.78.137,73.12,597e19b796dc436bb6e93311fa9df381
2,66272,1092,0.9977888007310046,136,50,-417.5450000000013,1576702778,1.8910796228091562,50,43.03341770172119,-865.3000000000008,1295.5,844.119,0.7611174583435059,66272,1.2962134918743091,17939,43.03341770172119,66272,371.9999999999984,66272,False,14.623,88590.578,zack-XPS-15-9560,0.003,2019-12-18_12-59-38,1534.737,10.142.78.137,73.09,597e19b796dc436bb6e93311fa9df381
3,67392,1120,0.9985757776146188,139,51,-409.3150000000015,1576702779,1.8927531035129137,51,43.82882356643677,-865.3000000000008,1278.9,837.575,0.7954058647155762,67392,1.2970277596912803,17939,43.82882356643677,67392,371.9999999999984,67392,False,14.418,88698.8,zack-XPS-15-9560,0.003,2019-12-18_12-59-39,1526.908,10.142.78.137,73.16,597e19b796dc436bb6e93311fa9df381
3,68602,1210,0.9991951165405101,142,52,-411.0050000000015,1576702780,1.8941062469999879,52,44.6482720375061,-865.3000000000008,1281.6,838.201,0.8194484710693359,68602,1.2976598120608194,17939,44.6482720375061,68602,371.9999999999984,68602,False,14.501,88380.696,zack-XPS-15-9560,0.003,2019-12-18_12-59-40,1528.99,10.142.78.137,73.14,597e19b796dc436bb6e93311fa9df381
3,70076,1474,0.9998602504398059,145,53,-413.2120000000014,1576702781,1.8955775545290052,53,45.60539388656616,-865.3000000000008,1275.0,837.497,0.9571218490600586,70076,1.29831638426811,17939,45.60539388656616,70076,371.9999999999984,70076,False,14.499,87935.384,zack-XPS-15-9560,0.003,2019-12-18_12-59-41,1522.394,10.142.78.137,73.18,597e19b796dc436bb6e93311fa9df381
3,71371,1295,1.0007198835148297,148,54,-411.31400000000156,1576702781,1.8975380798958061,54,46.45856595039368,-865.3000000000008,1264.6,832.242,0.8531720638275146,71371,1.2991435193760514,17939,46.45856595039368,71371,371.9999999999984,71371,False,14.37,88002.708,zack-XPS-15-9560,0.003,2019-12-18_12-59-41,1519.509,10.142.78.137,73.16,597e19b796dc436bb6e93311fa9df381
2,72678,1307,1.0012346623710726,150,55,-401.2520000000015,1576702782,1.8987188671726238,55,47.327768325805664,-865.3000000000008,1257.5,829.861,0.8692023754119873,72678,1.2996485993468907,17939,47.327768325805664,72678,371.9999999999984,72678,False,14.328,87768.118,zack-XPS-15-9560,0.003,2019-12-18_12-59-42,1515.314,10.142.78.137,73.1,597e19b796dc436bb6e93311fa9df381
3,74169,1491,1.0019335556880808,153,56,-415.49900000000156,1576702783,1.900351463890409,56,48.280590772628784,-865.3000000000008,1281.2,840.409,0.9528224468231201,74169,1.3003761827525306,17939,48.280590772628784,74169,371.9999999999984,74169,False,14.592,87802.803,zack-XPS-15-9560,0.003,2019-12-18_12-59-43,1524.495,10.142.78.137,73.17,597e19b796dc436bb6e93311fa9df381
3,75623,1454,1.0024804995596057,156,57,-409.45400000000154,1576702784,1.9016481423518001,57,49.206159353256226,-865.3000000000008,1298.7,848.661,0.9255685806274414,75623,1.3009696965590856,17939,49.206159353256226,75623,371.9999999999984,75623,False,14.48,89688.668,zack-XPS-15-9560,0.003,2019-12-18_12-59-44,1530.292,10.142.78.137,73.26,597e19b796dc436bb6e93311fa9df381
2,76903,1280,1.0026563065088994,158,58,-403.26700000000164,1576702785,1.9020889889833665,58,49.98321580886841,-865.3000000000008,1293.3,838.376,0.7770564556121826,76903,1.3012418912845656,17939,49.98321580886841,76903,371.9999999999984,76903,False,14.353,90104.271,zack-XPS-15-9560,0.003,2019-12-18_12-59-45,1542.626,10.142.78.137,73.21,597e19b796dc436bb6e93311fa9df381
3,78225,1322,1.0029269076578353,161,59,-407.30700000000155,1576702786,1.9028241533056083,59,50.84883213043213,-865.3000000000008,1304.5,841.954,0.8656163215637207,78225,1.3016668027259977,17939,50.84883213043213,78225,371.9999999999984,78225,False,14.475,90123.051,zack-XPS-15-9560,0.003,2019-12-18_12-59-46,1549.372,10.142.78.137,73.32,597e19b796dc436bb6e93311fa9df381
3,79525,1300,1.0031922016834118,164,60,-411.4210000000015,1576702787,1.903547601856758,60,51.71039342880249,-865.3000000000008,1325.3,851.703,0.8615612983703613,79525,1.302088179846247,17939,51.71039342880249,79525,371.9999999999984,79525,False,14.767,89744.783,zack-XPS-15-9560,0.003,2019-12-18_12-59-47,1556.06,10.142.78.137,73.38,597e19b796dc436bb6e93311fa9df381
3,81062,1537,1.0035310469939018,167,61,-413.56600000000157,1576702788,1.9044381818400706,61,52.6758496761322,-865.3000000000008,1367.0,868.35,0.9654562473297119,81062,1.302516299499875,17939,52.6758496761322,81062,371.9999999999984,81062,False,15.128,90362.998,zack-XPS-15-9560,0.003,2019-12-18_12-59-48,1574.25,10.142.78.137,73.29,597e19b796dc436bb6e93311fa9df381
