episode_reward_min,episodes_this_iter,pid,time_since_restore,episode_reward_mean,info/opt_samples,iterations_since_restore,sampler_perf/mean_inference_ms,hostname,timesteps_since_restore,date,episode_reward_max,info/grad_time_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_env_wait_ms,info/sample_time_ms,done,experiment_id,training_iteration,timesteps_this_iter,info/update_time_ms,node_ip,timesteps_total,info/opt_peak_throughput,time_this_iter_s,info/sample_peak_throughput,info/num_steps_trained,episodes_total,timestamp,info/num_steps_sampled,time_total_s,episode_len_mean
-1065.1000000000013,3,14922,21.341124534606934,-431.9200000000013,1371.8,52,0.6697600327395312,zack-XPS-15-9560,69223,2019-12-18_12-02-41,363.79999999999654,8.206,0.5026792078195418,0.8473725368954489,396.983,False,e67fcb214a7042fc9e167725570fecfb,52,1307,0.001,10.142.78.137,69223,167166.277,0.39568638801574707,3455.567,69223,141,1576699361,69223,21.341124534606934,73.59
-1065.1000000000013,2,14922,21.732094287872314,-430.0520000000013,1356.1,53,0.6692232005592157,zack-XPS-15-9560,70570,2019-12-18_12-02-42,363.79999999999654,8.145,0.5024683947528034,0.8472532999226507,392.995,False,e67fcb214a7042fc9e167725570fecfb,53,1347,0.001,10.142.78.137,70570,166504.559,0.39096975326538086,3450.678,70570,143,1576699362,70570,21.732094287872314,73.61
-1065.1000000000013,3,14922,22.155178785324097,-434.1200000000015,1341.4,54,0.6684843153557981,zack-XPS-15-9560,71969,2019-12-18_12-02-42,363.79999999999654,7.843,0.5021814684612612,0.8471830158274029,391.071,False,e67fcb214a7042fc9e167725570fecfb,54,1399,0.001,10.142.78.137,71969,171035.269,0.4230844974517822,3430.071,71969,146,1576699362,71969,22.155178785324097,73.61
-1065.1000000000013,3,14922,22.57991075515747,-434.0650000000015,1341.6,55,0.6678441188357997,zack-XPS-15-9560,73294,2019-12-18_12-02-43,363.79999999999654,7.898,0.5019350680420126,0.8470769263252407,392.65,False,e67fcb214a7042fc9e167725570fecfb,55,1325,0.001,10.142.78.137,73294,169869.958,0.424731969833374,3416.786,73294,149,1576699363,73294,22.57991075515747,73.65
-1065.1000000000013,3,14922,22.981456995010376,-427.91100000000154,1316.7,56,0.6672694510634324,zack-XPS-15-9560,74570,2019-12-18_12-02-43,363.79999999999654,7.749,0.5016613546051711,0.8469004580120951,390.652,False,e67fcb214a7042fc9e167725570fecfb,56,1276,0.001,10.142.78.137,74570,169908.566,0.4015462398529053,3370.516,74570,152,1576699363,74570,22.981456995010376,73.71
-1065.1000000000013,2,14922,23.360177278518677,-429.8290000000014,1304.0,57,0.6668865775743815,zack-XPS-15-9560,75807,2019-12-18_12-02-44,363.79999999999654,7.762,0.5014638023887887,0.8467871535755082,387.857,False,e67fcb214a7042fc9e167725570fecfb,57,1237,0.001,10.142.78.137,75807,168002.519,0.3787202835083008,3362.068,75807,154,1576699364,75807,23.360177278518677,73.79
-1065.1000000000013,3,14922,23.760063886642456,-421.7850000000015,1316.3,58,0.665842554977852,zack-XPS-15-9560,77101,2019-12-18_12-02-44,363.79999999999654,7.859,0.5009047240802169,0.8460954548793116,390.957,False,e67fcb214a7042fc9e167725570fecfb,58,1294,0.001,10.142.78.137,77101,167498.319,0.3998866081237793,3366.864,77101,157,1576699364,77101,23.760063886642456,73.72
-1065.1000000000013,3,14922,24.192356824874878,-434.0910000000015,1340.2,59,0.6649298545459605,zack-XPS-15-9560,78594,2019-12-18_12-02-44,363.69999999999663,7.965,0.5004913243175783,0.8455999583641673,396.518,False,e67fcb214a7042fc9e167725570fecfb,59,1493,0.001,10.142.78.137,78594,168258.279,0.4322929382324219,3379.919,78594,160,1576699364,78594,24.192356824874878,73.66
-1065.1000000000013,3,14922,24.558448314666748,-421.87900000000167,1314.4,60,0.6640864566161645,zack-XPS-15-9560,79736,2019-12-18_12-02-45,363.69999999999663,7.863,0.5000904771848456,0.8451176392658961,392.852,False,e67fcb214a7042fc9e167725570fecfb,60,1142,0.001,10.142.78.137,79736,167163.737,0.3660914897918701,3345.791,79736,163,1576699365,79736,24.558448314666748,73.52
-1065.1000000000013,2,14922,24.9644033908844,-417.8590000000017,1318.1,61,0.6635565645913211,zack-XPS-15-9560,81097,2019-12-18_12-02-45,363.69999999999663,7.848,0.49985137098275495,0.8448537136907147,393.363,False,e67fcb214a7042fc9e167725570fecfb,61,1361,0.001,10.142.78.137,81097,167962.282,0.40595507621765137,3350.845,81097,165,1576699365,81097,24.9644033908844,73.49
-1065.1000000000013,3,14922,25.3764967918396,-427.91800000000165,1325.0,62,0.6628566478369161,zack-XPS-15-9560,82473,2019-12-18_12-02-46,173.29999999999905,7.876,0.4996038183729962,0.8446026183208601,394.973,False,e67fcb214a7042fc9e167725570fecfb,62,1376,0.001,10.142.78.137,82473,168224.653,0.4120934009552002,3354.663,82473,168,1576699366,82473,25.3764967918396,73.33
-1065.1000000000013,3,14922,25.747836589813232,-433.8550000000016,1309.0,63,0.6622161124117352,zack-XPS-15-9560,83660,2019-12-18_12-02-46,173.29999999999905,7.848,0.49938430127406014,0.8443995702935397,393.033,False,e67fcb214a7042fc9e167725570fecfb,63,1187,0.001,10.142.78.137,83660,166801.678,0.3713397979736328,3330.505,83660,171,1576699366,83660,25.747836589813232,73.34
-1065.1000000000013,2,14922,26.183566570281982,-444.06900000000155,1317.3,64,0.661817193958493,zack-XPS-15-9560,85142,2019-12-18_12-02-46,173.29999999999905,8.231,0.4992585182646099,0.8443258480624894,393.915,False,e67fcb214a7042fc9e167725570fecfb,64,1482,0.001,10.142.78.137,85142,160037.674,0.43572998046875,3344.125,85142,173,1576699366,85142,26.183566570281982,73.41
-1065.1000000000013,3,14922,26.577462434768677,-450.1350000000015,1317.3,65,0.6612815731077265,zack-XPS-15-9560,86467,2019-12-18_12-02-47,173.29999999999905,8.199,0.49912966051957924,0.8442854752868084,390.866,False,e67fcb214a7042fc9e167725570fecfb,65,1325,0.001,10.142.78.137,86467,160657.986,0.39389586448669434,3370.208,86467,176,1576699367,86467,26.577462434768677,73.4
