episodes_total,timesteps_total,time_this_iter_s,info/num_steps_sampled,timesteps_since_restore,iterations_since_restore,episodes_this_iter,sampler_perf/mean_env_wait_ms,info/opt_samples,sampler_perf/mean_processing_ms,time_since_restore,date,training_iteration,info/sample_time_ms,info/num_steps_trained,time_total_s,episode_len_mean,info/opt_peak_throughput,episode_reward_mean,info/grad_time_ms,sampler_perf/mean_inference_ms,episode_reward_max,hostname,info/sample_peak_throughput,info/update_time_ms,timestamp,pid,node_ip,episode_reward_min,timesteps_this_iter,experiment_id,done
158,45669,0.28179407119750977,45669,45669,56,3,0.7082643883760538,832.4,0.3085530742443747,18.174444437026978,2019-12-18_11-10-35,56,319.452,45669,18.174444437026978,70.53,169548.303,-249.77599999999995,4.91,0.5688497270343076,586.6999999999999,zack-XPS-15-9560,2605.712,0.001,1576696235,11562,10.142.78.137,-640.6000000000001,693,c3fc92d7f4874dea9e1921f76f825b97,False
161,46514,0.32984185218811035,46514,46514,57,3,0.7081410486613932,826.2,0.3084306355724831,18.504286289215088,2019-12-18_11-10-36,57,318.554,46514,18.504286289215088,70.54,169167.763,-256.01199999999994,4.884,0.5688943300318359,586.6999999999999,zack-XPS-15-9560,2593.598,0.001,1576696236,11562,10.142.78.137,-640.6000000000001,845,c3fc92d7f4874dea9e1921f76f825b97,False
163,47238,0.29003143310546875,47238,47238,58,2,0.7079939535416173,810.1,0.30833003008142557,18.794317722320557,2019-12-18_11-10-36,58,314.173,47238,18.794317722320557,70.37,168074.241,-241.699,4.82,0.5688953316680387,586.6999999999999,zack-XPS-15-9560,2578.516,0.001,1576696236,11562,10.142.78.137,-640.6000000000001,724,c3fc92d7f4874dea9e1921f76f825b97,False
166,48098,0.3323557376861572,48098,48098,59,3,0.7078691537733394,813.6,0.3082131610084879,19.126673460006714,2019-12-18_11-10-36,59,314.315,48098,19.126673460006714,70.41,170786.534,-237.76200000000006,4.764,0.5689037105961599,586.6999999999999,zack-XPS-15-9560,2588.485,0.001,1576696236,11562,10.142.78.137,-640.6000000000001,860,c3fc92d7f4874dea9e1921f76f825b97,False
169,48936,0.3244960308074951,48936,48936,60,3,0.7077982577971551,812.7,0.3081311930740269,19.45116949081421,2019-12-18_11-10-37,60,314.508,48936,19.45116949081421,70.57,171700.979,-240.04799999999994,4.733,0.5689169757891606,586.6999999999999,zack-XPS-15-9560,2584.038,0.001,1576696237,11562,10.142.78.137,-640.6000000000001,838,c3fc92d7f4874dea9e1921f76f825b97,False
172,49790,0.3184049129486084,49790,49790,61,3,0.7078110782069217,812.7,0.3080805526273408,19.769574403762817,2019-12-18_11-10-37,61,313.755,49790,19.769574403762817,70.6,173074.936,-240.113,4.696,0.5689027396402314,586.6999999999999,zack-XPS-15-9560,2590.24,0.001,1576696237,11562,10.142.78.137,-640.6000000000001,854,c3fc92d7f4874dea9e1921f76f825b97,False
175,50720,0.33447980880737305,50720,50720,62,3,0.7079410714352933,812.3,0.3080710233568391,20.10405421257019,2019-12-18_11-10-37,62,311.114,50720,20.10405421257019,70.63,173687.322,-244.34199999999998,4.677,0.5688995185642038,586.6999999999999,zack-XPS-15-9560,2610.939,0.001,1576696237,11562,10.142.78.137,-640.6000000000001,930,c3fc92d7f4874dea9e1921f76f825b97,False
178,51526,0.3177297115325928,51526,51526,63,3,0.7081013436339018,816.2,0.30807745835581163,20.421783924102783,2019-12-18_11-10-38,63,311.888,51526,20.421783924102783,70.73,174621.82,-246.418,4.674,0.5689258165717545,586.6999999999999,zack-XPS-15-9560,2616.964,0.001,1576696238,11562,10.142.78.137,-640.6000000000001,806,c3fc92d7f4874dea9e1921f76f825b97,False
180,52372,0.3180255889892578,52372,52372,64,2,0.7082051526634533,825.8,0.30808284176171097,20.73980951309204,2019-12-18_11-10-38,64,313.473,52372,20.73980951309204,70.78,174912.699,-248.41499999999994,4.721,0.5689408247236841,586.6999999999999,zack-XPS-15-9560,2634.355,0.001,1576696238,11562,10.142.78.137,-640.6000000000001,846,c3fc92d7f4874dea9e1921f76f825b97,False
183,53205,0.3265819549560547,53205,53205,65,3,0.7083921103499966,822.9,0.3081070434008106,21.066391468048096,2019-12-18_11-10-38,65,312.092,53205,21.066391468048096,70.91,175419.95,-248.5339999999999,4.691,0.5689783960546707,586.6999999999999,zack-XPS-15-9560,2636.725,0.001,1576696238,11562,10.142.78.137,-640.6000000000001,833,c3fc92d7f4874dea9e1921f76f825b97,False
