episodes_total,experiment_id,info/sample_peak_throughput,episode_reward_mean,timesteps_this_iter,timesteps_total,time_since_restore,done,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,timesteps_since_restore,info/num_steps_sampled,timestamp,sampler_perf/mean_env_wait_ms,episode_len_mean,info/num_steps_trained,episode_reward_max,info/opt_peak_throughput,time_total_s,iterations_since_restore,episode_reward_min,info/opt_samples,sampler_perf/mean_processing_ms,episodes_this_iter,node_ip,date,sampler_perf/mean_inference_ms,hostname,training_iteration,pid,time_this_iter_s
124,db15454e139b45a4977ecbeb588ffe50,3375.441,-271.4729999999999,867,37004,11.359837770462036,False,256.618,5.058,0.001,37004,37004,1576686995,0.38924276002437735,70.67,37004,179.09999999999866,171240.461,11.359837770462036,44,-641.5000000000005,866.2,0.30003520200801204,3,10.142.78.137,2019-12-18_08-36-35,0.5711300303185627,zack-XPS-15-9560,44,30967,0.2561626434326172
127,db15454e139b45a4977ecbeb588ffe50,3321.268,-261.2879999999999,755,37759,11.616379022598267,False,256.559,5.04,0.001,37759,37759,1576686996,0.3892826525405422,70.6,37759,179.09999999999866,169052.203,11.616379022598267,45,-641.5000000000005,852.1,0.2999866585571777,3,10.142.78.137,2019-12-18_08-36-36,0.5700505492633395,zack-XPS-15-9560,45,30967,0.25654125213623047
129,db15454e139b45a4977ecbeb588ffe50,3345.005,-263.3659999999998,921,38680,11.895931720733643,False,259.342,5.187,0.001,38680,38680,1576686996,0.3892761374033569,70.59,38680,179.09999999999866,167246.995,11.895931720733643,46,-641.5000000000005,867.5,0.2999505093871672,2,10.142.78.137,2019-12-18_08-36-36,0.5694847595991592,zack-XPS-15-9560,46,30967,0.279552698135376
132,db15454e139b45a4977ecbeb588ffe50,3349.336,-261.2939999999999,846,39526,12.160133123397827,False,259.305,5.218,0.001,39526,39526,1576686996,0.3893142131059303,70.47,39526,179.09999999999866,166458.128,12.160133123397827,47,-641.5000000000005,868.5,0.2999231705596222,3,10.142.78.137,2019-12-18_08-36-36,0.5687202786661699,zack-XPS-15-9560,47,30967,0.26420140266418457
135,db15454e139b45a4977ecbeb588ffe50,3286.944,-265.3519999999998,900,40426,12.46904444694519,False,263.132,5.269,0.001,40426,40426,1576686996,0.38945061561484434,70.53,40426,179.09999999999866,164162.818,12.46904444694519,48,-641.5000000000005,864.9,0.2999517752440787,3,10.142.78.137,2019-12-18_08-36-36,0.5681587402361581,zack-XPS-15-9560,48,30967,0.3089113235473633
138,db15454e139b45a4977ecbeb588ffe50,3249.668,-261.26699999999977,853,41279,12.743000745773315,False,262.211,5.159,0.001,41279,41279,1576686997,0.3895950952320832,70.41,41279,179.09999999999866,165158.618,12.743000745773315,49,-641.1,852.1,0.29999808546919476,3,10.142.78.137,2019-12-18_08-36-37,0.5677020549307118,zack-XPS-15-9560,49,30967,0.273956298828125
141,db15454e139b45a4977ecbeb588ffe50,3219.65,-259.18299999999994,659,41938,12.97610592842102,False,259.531,5.031,0.001,41938,41938,1576686997,0.3896602795522147,70.46,41938,179.09999999999866,166103.177,12.97610592842102,50,-641.1,835.6,0.30001435972543633,3,10.142.78.137,2019-12-18_08-36-37,0.5673162946491478,zack-XPS-15-9560,50,30967,0.23310518264770508
144,db15454e139b45a4977ecbeb588ffe50,3182.815,-250.79599999999994,593,42531,13.210857391357422,False,257.351,4.978,0.001,42531,42531,1576686997,0.38964786812567964,70.33,42531,382.499999999999,164559.326,13.210857391357422,51,-639.7000000000003,819.1,0.29998959571568273,3,10.142.78.137,2019-12-18_08-36-37,0.5670498719035367,zack-XPS-15-9560,51,30967,0.23475146293640137
146,db15454e139b45a4977ecbeb588ffe50,3147.967,-254.82899999999987,870,43401,13.48623514175415,False,259.533,4.969,0.001,43401,43401,1576686998,0.3896185597640542,70.4,43401,382.499999999999,164405.174,13.48623514175415,52,-639.7000000000003,817.0,0.2999247776969083,2,10.142.78.137,2019-12-18_08-36-38,0.5668634592647702,zack-XPS-15-9560,52,30967,0.2753777503967285
149,db15454e139b45a4977ecbeb588ffe50,3107.544,-240.57999999999993,686,44087,13.716540336608887,False,255.829,4.844,0.001,44087,44087,1576686998,0.38956152336464084,70.39,44087,382.499999999999,164114.976,13.716540336608887,53,-639.7000000000003,795.0,0.2998197266791023,3,10.142.78.137,2019-12-18_08-36-38,0.5666337043426132,zack-XPS-15-9560,53,30967,0.23030519485473633
